id,Stop_name,Stop_code,Common_code,Latitude,Longitude,Road_side,Road_number,Street,County,Parish,Village
"408,""Beltas"",""14422"",""3712"",""57.1414673"",""22.6605465"",""Labā"",""V1399"","""",""Talsu novads"",""Virbu pagasts"","""""
"409,""Beltas"",""14423"",""3712"",""57.1415250"",""22.6605373"",""Kreisā"",""V1399"","""",""Talsu novads"",""Virbu pagasts"",""Lēdas"""
"410,""Beļauski"",""14508"",""3820"",""56.8444116"",""27.1084887"",""Kreisā"",""V489"",""Skolas iela 7"",""Balvu novads"",""Bērzpils pagasts"",""Bērzpils"""
"411,""Beļauski"",""14509"",""3820"",""56.8445379"",""27.1081708"",""Labā"",""V489"",""Skolas iela 7"",""Balvu novads"",""Bērzpils pagasts"",""Bērzpils"""
"412,""Beņķi"",""13875"",""2732"",""57.5928329"",""25.2918181"",""Kreisā"",""V216"","""",""Kocēnu novads"",""Kocēnu pagasts"","""""
"413,""Beņķi"",""13876"",""2732"",""57.5928521"",""25.2916966"",""Labā"",""V216"","""",""Kocēnu novads"",""Kocēnu pagasts"","""""
"414,""Berezovka"",""14372"",""3651"",""55.9866542"",""26.8760347"",""Labā"",""V687"","""",""Daugavpils novads"",""Biķernieku pagasts"","""""
"415,""Berezovka"",""14373"",""3651"",""55.9867975"",""26.8762779"",""Kreisā"",""V687"","""",""Daugavpils novads"",""Biķernieku pagasts"","""""
"416,""Beirāni"",""10640"",""260"",""56.6769220"",""26.9662800"",""Kreisā"",""V592"","""",""Rēzeknes novads"",""Nagļu pagasts"","""""
"417,""Bernāni"",""10757"",""261"",""56.2834431"",""26.5938785"",""Kreisā"",""V752"","""",""Līvānu novads"",""Sutru pagasts"","""""
"418,""Bernāni"",""10655"",""261"",""56.2835783"",""26.5931598"",""Labā"",""V752"","""",""Līvānu novads"",""Sutru pagasts"","""""
"419,""Bērnu nams"",""15213"",""5216"",""56.8800928"",""22.9903701"",""Kreisā"",""V1452"","""",""Tukuma novads"",""Irlavas pagasts"",""Irlava"""
"420,""Bērnu nams"",""15214"",""5216"",""56.8802488"",""22.9905478"",""Labā"",""V1452"","""",""Tukuma novads"",""Irlavas pagasts"",""Irlava"""
"421,""Bērnudārzs"",""15447"",""5891"",""57.2237859"",""22.5259532"",""Kreisā"","""",""Ozolu iela "",""Talsu novads"",""Ģibuļu pagasts"",""Pastende"""
"422,""Bērnudārzs"",""14321"",""3586"",""56.7426166"",""25.7702796"",""Kreisā"",""V916"","""",""Pļaviņu novads"",""Vietalvas pagasts"",""Vietalva"""
"423,""Bērnudārzs"",""14322"",""3586"",""56.7428919"",""25.7707242"",""Labā"",""V916"","""",""Pļaviņu novads"",""Vietalvas pagasts"",""Vietalva"""
"424,""Bērnudārzs"",""15448"",""5892"",""57.3290471"",""23.1267074"",""Kreisā"",""P131"",""Lielā iela "",""Mērsraga novads"","""",""Mērsrags"""
"425,""Bērnudārzs"",""15449"",""5892"",""57.3297175"",""23.1266997"",""Labā"",""P131"",""Lielā iela "",""Mērsraga novads"","""",""Mērsrags"""
"426,""Bērnudārzs Lienīte"",""15450"",""5893"",""56.8983216"",""24.0462784"",""Labā"","""",""Mārupītes gatve"",""Mārupes novads"","""",""Mārupe"""
"427,""Bērnudārzs Lienīte"",""15451"",""5893"",""56.8999512"",""24.0470439"",""Kreisā"","""",""Mārupītes gatve"",""Mārupes novads"","""",""Mārupe"""
"428,""Bēršas"",""13292"",""1362"",""57.6137411"",""24.7242362"",""Labā"",""V115"","""",""Limbažu novads"",""Viļķenes pagasts"","""""
"429,""Bēršas"",""13293"",""1362"",""57.6138540"",""24.7241679"",""Kreisā"",""V115"","""",""Limbažu novads"",""Viļķenes pagasts"","""""
"430,""Bērzene"",""15267"",""323"",""56.0305414"",""26.9023979"",""Labā"",""V676"","""",""Daugavpils novads"",""Ambeļu pagasts"","""""
"431,""Bērzene"",""11794"",""323"",""56.0306829"",""26.9017503"",""Kreisā"",""V676"","""",""Daugavpils novads"",""Ambeļu pagasts"","""""
"432,""Bērzi"",""14305"",""3557"",""57.2956610"",""25.2483088"",""Labā"",""V291"",""Līgatnes iela 85"",""Amatas novads"",""Amatas pagasts"",""Cēsis"""
"433,""Bērzi"",""14306"",""3557"",""57.2956832"",""25.2484462"",""Kreisā"",""V291"",""Līgatnes iela 85"",""Amatas novads"",""Amatas pagasts"",""Cēsis"""
"434,""Bērzi"",""13740"",""2463"",""56.3532208"",""24.9816265"",""Labā"",""V932"","""",""Neretas novads"",""Mazzalves pagasts"","""""
"435,""Bērzi"",""14452"",""3751"",""56.3913509"",""21.6193046"",""Labā"",""P114"","""",""Priekules novads"",""Gramzdas pagasts"","""""
"436,""Bērzi"",""14453"",""3751"",""56.3916408"",""21.6195797"",""Kreisā"",""P114"","""",""Priekules novads"",""Gramzdas pagasts"","""""
"437,""Bērziņi"",""13219"",""1128"",""56.8203662"",""25.6872605"",""Kreisā"",""V885"","""",""Ērgļu novads"",""Sausnējas pagasts"","""""
"438,""Bērziņi"",""13220"",""1128"",""56.8204746"",""25.6869724"",""Labā"",""V885"","""",""Ērgļu novads"",""Sausnējas pagasts"","""""
"439,""Bērziņi"",""13064"",""795"",""57.8026537"",""25.9492007"",""Kreisā"",""V236"","""",""Valkas novads"",""Valkas pagasts"","""""
"440,""Bērziņi"",""13065"",""795"",""57.8026924"",""25.9492609"",""Labā"",""V236"","""",""Valkas novads"",""Valkas pagasts"","""""
"441,""Bērziņi"",""15116"",""4985"",""57.5818643"",""25.7556555"",""Labā"",""P25"","""",""Strenču novads"",""Plāņu pagasts"","""""
"442,""Bērziņi"",""15117"",""4985"",""57.5810366"",""25.7569624"",""Kreisā"",""P25"","""",""Strenču novads"",""Plāņu pagasts"",""Jaunklidzis"""
"443,""Bērzlapes"",""14030"",""2927"",""57.5246485"",""25.8481175"",""Kreisā"",""P25"","""",""Strenču novads"",""Plāņu pagasts"","""""
"444,""Bērzlapes"",""14031"",""2927"",""57.5250014"",""25.8483770"",""Labā"",""P25"","""",""Strenču novads"",""Plāņu pagasts"","""""
"445,""Bērzu iela"",""15452"",""5895"",""56.8757265"",""23.9386861"",""Labā"","""",""Ozolu iela"",""Mārupes novads"","""",""Jaunmārupe"""
"446,""Bērzu iela"",""15453"",""5902"",""56.9599742"",""23.7024505"",""Labā"","""",""Mellužu prospekts"",""Jūrmala"","""","""""
"447,""Bērzu iela"",""15454"",""5902"",""56.9601803"",""23.7030541"",""Kreisā"","""",""Mellužu prospekts"",""Jūrmala"","""","""""
"448,""Bērzupe"",""14511"",""3825"",""56.2892119"",""26.3586974"",""Kreisā"",""V682"","""",""Līvānu novads"",""Rožupes pagasts"","""""
"449,""Bērzupe"",""14512"",""3825"",""56.2898215"",""26.3585550"",""Labā"",""V682"","""",""Līvānu novads"",""Rožupes pagasts"","""""
"450,""Berževka"",""8263"",""179"",""56.7715495"",""27.8335363"",""Labā"",""P50"","""",""Kārsavas novads"",""Malnavas pagasts"","""""
"451,""Beta"",""15455"",""5906"",""56.6056921"",""25.2633091"",""Labā"","""",""Jaunceltnes iela 27"",""Aizkraukles novads"",""Aizkraukles pilsēta"",""Aizkraukle"""
"452,""Beta"",""15456"",""5906"",""56.6051054"",""25.2640007"",""Kreisā"","""",""Jaunceltnes iela 38"",""Aizkraukles novads"",""Aizkraukles pilsēta"",""Aizkraukle"""
"453,""Atmodas iela"",""15457"",""5919"",""57.1041690"",""24.6830355"",""Kreisā"","""",""Atmodas iela"",""Siguldas novads"","""",""Inčukalns"""
"454,""Bez nosaukuma"",""14149"",""3222"",""56.0626958"",""27.1197715"",""Kreisā"",""V641"","""",""Aglonas novads"",""Grāveru pagasts"","""""
"455,""Bez nosaukuma"",""13677"",""2329"",""55.9550384"",""26.1288957"",""Labā"",""V701"",""Stendera iela 9"",""Ilūkstes novads"",""Eglaines pagasts"",""Eglaine"""
"458,""Bez nosaukuma"",""15301"","""",""56.6388615"",""27.5957914"",""Kreisā"",""V499"","""",""Kārsavas novads"",""Mežvidu pagasts"","""""
"459,""Bez nosaukuma"",""15302"","""",""56.6393364"",""27.5952534"",""Labā"",""V499"","""",""Kārsavas novads"",""Mežvidu pagasts"","""""
"460,""Dzērvītes"",""14643"",""3967"",""57.2165210"",""24.6975900"",""Kreisā"",""P9"","""",""Siguldas novads"","""","""""
"461,""Dzērvītes"",""14644"",""3967"",""57.2171310"",""24.6976210"",""Labā"",""P9"","""",""Siguldas novads"","""","""""
"462,""Bez nosaukuma"",""13266"",""1328"",""55.9738122"",""26.3067271"",""Labā"",""P71"","""",""Ilūkstes novads"",""Ilūkstes pilsēta"",""Ilūkste"""
"463,""Bez nosaukuma"",""13267"",""1328"",""55.9738586"",""26.3068547"",""Kreisā"",""P71"","""",""Ilūkstes novads"",""Ilūkstes pilsēta"",""Ilūkste"""
"464,""Bez nosaukuma"",""13268"",""1329"",""55.9827103"",""26.2893114"",""Labā"",""P72"",""Raiņa iela 43"",""Ilūkstes novads"",""Ilūkstes pilsēta"",""Ilūkste"""
"465,""Bez nosaukuma"",""13269"",""1329"",""55.9829843"",""26.2893931"",""Kreisā"",""P72"",""Raiņa iela 44A"",""Ilūkstes novads"",""Ilūkstes pilsēta"",""Ilūkste"""
"467,""Kalndunduri"",""14353"",""3625"",""57.1980182"",""24.7049570"",""Kreisā"",""P9"","""",""Siguldas novads"","""","""""
"468,""Kalndunduri"",""14354"",""3625"",""57.1985850"",""24.7049060"",""Labā"",""P9"","""",""Siguldas novads"","""","""""
"469,""Olaines 2. vidusskola"",""15458"",""5920"",""56.7824880"",""23.9320123"",""Labā"","""",""Zemgales iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"470,""Dzērvenītes iela"",""15459"",""5921"",""56.7798440"",""23.9320930"",""Kreisā"","""",""Stacijas iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"471,""Stacijas iela"",""15460"",""5923"",""56.7814383"",""23.9357896"",""Kreisā"","""",""Stacijas iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"472,""Koledža"",""15461"",""5924"",""56.7876055"",""23.9430930"",""Labā"","""",""Zemgales iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"473,""Dzelzceļnieku ciems"",""14374"",""3652"",""56.8060940"",""23.9923270"",""Kreisā"",""A8"","""",""Olaines novads"",""Olaines pagasts"",""Jaunolaine"""
"474,""Dzelzceļnieku ciems"",""14375"",""3652"",""56.8069432"",""23.9933470"",""Labā"",""A8"","""",""Olaines novads"",""Olaines pagasts"",""Jaunolaine"""
"476,""Rīgas iela"",""15462"",""5928"",""56.7918278"",""23.9464890"",""Kreisā"","""",""Zemgales iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"477,""Rīgas iela"",""15463"",""5928"",""56.7920887"",""23.9467877"",""Labā"","""",""Zemgales iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"478,""Olaines 1. vidusskola"",""15464"",""5931"",""56.7882269"",""23.9407410"",""Kreisā"","""",""Zeiferta iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"479,""Zeiferta iela"",""15465"",""5933"",""56.7894275"",""23.9376819"",""Labā"","""",""Zeiferta iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"480,""Zeiferta iela"",""15466"",""5933"",""56.7895017"",""23.9376064"",""Kreisā"","""",""Zeiferta iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"481,""Jelgavas iela"",""15467"",""5935"",""56.7880288"",""23.9347189"",""Kreisā"","""",""Jelgavas iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"482,""Jelgavas iela"",""15468"",""5935"",""56.7884314"",""23.9353104"",""Labā"","""",""Jelgavas iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"483,""Veselības iela"",""15469"",""5937"",""56.7856308"",""23.9351114"",""Labā"","""",""Veselības iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"484,""Veselības iela"",""15470"",""5937"",""56.7860032"",""23.9343731"",""Kreisā"","""",""Veselības iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"485,""Pašvaldība"",""15471"",""5952"",""56.7842079"",""23.9362863"",""Kreisā"","""",""Zemgales iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"486,""Pašvaldība"",""15472"",""5952"",""56.7842944"",""23.9367725"",""Labā"","""",""Zemgales iela"",""Olaines novads"",""Olaines pilsēta"",""Olaine"""
"487,""Bēzlapes"",""14951"",""4722"",""55.9857117"",""26.3009744"",""Kreisā"",""V719"",""Zemgales iela 37"",""Ilūkstes novads"",""Ilūkstes pilsēta"",""Ilūkste"""
"488,""Bēzlapes"",""14952"",""4722"",""55.9860368"",""26.3009858"",""Labā"",""V719"",""Zemgales iela 37"",""Ilūkstes novads"",""Ilūkstes pilsēta"",""Ilūkste"""
"489,""Bibliotēka"",""15473"",""5954"",""56.8554685"",""24.3313779"",""Kreisā"","""",""Enerģētiķu iela"",""Salaspils novads"",""Salaspils pilsēta"",""Salaspils"""
"490,""Bibliotēka"",""15474"",""5954"",""56.8558334"",""24.3310202"",""Labā"","""",""Enerģētiķu iela"",""Salaspils novads"",""Salaspils pilsēta"",""Salaspils"""
"491,""Bieranti"",""14971"",""4776"",""56.5160735"",""23.8247244"",""Kreisā"",""V1054"","""",""Jelgavas novads"",""Vircavas pagasts"","""""
"492,""Bieranti"",""14972"",""4776"",""56.5160600"",""23.8247244"",""Labā"",""V1054"","""",""Jelgavas novads"",""Vircavas pagasts"","""""
"493,""Bikšu kapi"",""15475"",""5955"",""56.3060588"",""24.5252102"",""Labā"","""","""",""Bauskas novads"",""Brunavas pagasts"","""""
"494,""Bileiķi"",""15030"",""4864"",""56.3867611"",""22.8958691"",""Labā"",""V1114"","""",""Saldus novads"",""Vadakstes pagasts"","""""
"495,""Bindari"",""14147"",""3220"",""56.4034370"",""26.7042527"",""Labā"",""V738"","""",""Preiļu novads"",""Saunas pagasts"","""""
"496,""Bindari"",""14148"",""3220"",""56.4040689"",""26.7033232"",""Kreisā"",""V738"","""",""Preiļu novads"",""Saunas pagasts"","""""
"497,""Bīriņu iela"",""15476"",""5957"",""57.2671763"",""24.4141873"",""Kreisā"",""V101"",""Ainažu iela"",""Saulkrastu novads"",""Saulkrastu pilsēta"",""Saulkrasti"""
"498,""Birstalas"",""13859"",""2720"",""56.3028588"",""21.3282587"",""Labā"",""P113"","""",""Rucavas novads"",""Dunikas pagasts"","""""
"499,""Birstalas"",""13860"",""2720"",""56.3029922"",""21.3284270"",""Kreisā"",""P113"","""",""Rucavas novads"",""Dunikas pagasts"","""""
"500,""Birzgaļi"",""14332"",""3605"",""57.3158678"",""24.9732239"",""Kreisā"",""V280"","""",""Pārgaujas novads"",""Straupes pagasts"","""""
"501,""Birzgaļi"",""14333"",""3605"",""57.3159583"",""24.9732306"",""Labā"",""V280"","""",""Pārgaujas novads"",""Straupes pagasts"","""""
"502,""Birzgaļi 1"",""13844"",""2677"",""57.5995141"",""25.1147218"",""Kreisā"",""V166"","""",""Kocēnu novads"",""Dikļu pagasts"","""""
"503,""Birzgaļi 1"",""13845"",""2677"",""57.5996990"",""25.1142177"",""Labā"",""V166"","""",""Kocēnu novads"",""Dikļu pagasts"","""""
"504,""Birzis"",""15224"",""5317"",""57.4733955"",""27.1532180"",""Labā"",""V390"","""",""Alūksnes novads"",""Mārkalnes pagasts"","""""
"505,""Birzis"",""15225"",""5317"",""57.4734785"",""27.1530098"",""Kreisā"",""V390"","""",""Alūksnes novads"",""Mārkalnes pagasts"","""""
"506,""Birzītes"",""15477"",""5964"",""56.7045100"",""23.9415108"",""Labā"","""","""",""Ozolnieku novads"",""Cenu pagasts"","""""
"507,""Birzītes"",""14376"",""3656"",""56.7045179"",""23.9415213"",""Labā"",""V28"","""",""Ozolnieku novads"",""Cenu pagasts"","""""
"508,""Birznieki"",""13906"",""2759"",""57.5727042"",""24.6633285"",""Kreisā"",""P12"","""",""Limbažu novads"",""Limbažu pagasts"","""""
"509,""Birznieki"",""13907"",""2759"",""57.5731177"",""24.6633909"",""Labā"",""P12"","""",""Limbažu novads"",""Limbažu pagasts"","""""
"510,""Birznieki"",""14922"",""4676"",""56.7028072"",""23.3766756"",""Kreisā"",""P102"","""",""Dobeles novads"",""Jaunbērzes pagasts"","""""
"511,""Birznieki"",""14923"",""4676"",""56.7032094"",""23.3773236"",""Labā"",""P102"","""",""Dobeles novads"",""Jaunbērzes pagasts"","""""
"512,""Biržas iela"",""15478"",""5968"",""56.5409195"",""27.7109134"",""Kreisā"","""",""Biržas iela 4"",""Ludzas novads"",""Ludzas pilsēta"",""Ludza"""
"513,""Biržas iela"",""15479"",""5968"",""56.5406187"",""27.7106812"",""Labā"","""",""Raiņa iela 40C"",""Ludzas novads"",""Ludzas pilsēta"",""Ludza"""
"514,""Biži"",""14668"",""3987"",""56.5376538"",""27.5091725"",""Kreisā"",""V550"","""",""Rēzeknes novads"",""Lendžu pagasts"","""""
"515,""Biži"",""14669"",""3987"",""56.5377540"",""27.5097842"",""Labā"",""V550"","""",""Rēzeknes novads"",""Lendžu pagasts"","""""
"516,""Bišu iela"",""15480"",""5974"",""56.9432143"",""23.4969296"",""Labā"","""",""Emīla Dārziņa iela"",""Jūrmala"","""","""""
"517,""Bišu iela"",""15481"",""5974"",""56.9437383"",""23.4977623"",""Kreisā"","""",""Emīla Dārziņa iela"",""Jūrmala"","""","""""
"518,""Bites"",""13604"",""2078"",""56.7509036"",""24.1071135"",""Labā"",""V7"","""",""Ķekavas novads"",""Ķekavas pagasts"",""Plakanciems"""
"519,""Bites"",""13605"",""2078"",""56.7514785"",""24.1075459"",""Kreisā"",""V7"","""",""Ķekavas novads"",""Ķekavas pagasts"",""Plakanciems"""
"520,""Bites"",""15283"",""633"",""56.3140231"",""21.0932286"",""Labā"",""A11"","""",""Nīcas novads"",""Nīcas pagasts"","""""
"521,""Blankas"",""14589"",""3922"",""57.9143279"",""25.0403453"",""Labā"",""V164"","""",""Mazsalacas novads"",""Mazsalacas pagasts"","""""
"522,""Blankas"",""14590"",""3922"",""57.9154207"",""25.0393852"",""Kreisā"",""V164"","""",""Mazsalacas novads"",""Mazsalacas pagasts"","""""
"523,""Blaumi"",""13595"",""2064"",""57.0445260"",""27.2354121"",""Kreisā"",""P48"","""",""Rugāju novads"",""Rugāju pagasts"","""""
"524,""Blaumi"",""13596"",""2064"",""57.0448628"",""27.2349975"",""Labā"",""P48"","""",""Rugāju novads"",""Rugāju pagasts"","""""
"525,""Blāzmas"",""14693"",""4012"",""56.8882000"",""24.3596470"",""Labā"",""V33"","""",""Salaspils novads"",""Salaspils pagasts"","""""
"526,""Blāzmas iela"",""15482"",""5979"",""56.8216926"",""24.5893549"",""Kreisā"","""",""Vidus prospekts"",""Ogres novads"",""Ogres pilsēta"",""Ogre"""
"527,""Blonti"",""13568"",""2036"",""56.6117500"",""27.7762509"",""Kreisā"",""V506"","""",""Ciblas novads"",""Blontu pagasts"",""Blonti"""
"528,""Blonti"",""13569"",""2036"",""56.6118962"",""27.7762293"",""Labā"",""V506"","""",""Ciblas novads"",""Blontu pagasts"",""Blonti"""
"529,""Blukas"",""14434"",""3726"",""56.6137847"",""23.7912429"",""A/V"",""V1071"",""Dārza iela 1"",""Jelgavas novads"",""Jaunsvirlaukas pagasts"",""Mežciems"""
"530,""Blusi"",""15292"",""1122"",""55.9467867"",""27.5324922"",""Kreisā"",""V627"","""",""Krāslavas novads"",""Robežnieku pagasts"","""""
"531,""Bļodnieki"",""13170"",""1020"",""56.6465728"",""21.5713016"",""Labā"",""V1197"","""",""Durbes novads"",""Vecpils pagasts"","""""
"532,""Bļodnieki"",""13171"",""1020"",""56.6466539"",""21.5715633"",""Kreisā"",""V1197"","""",""Durbes novads"",""Vecpils pagasts"","""""
"533,""Boldači"",""13962"",""2864"",""56.3719933"",""27.7680493"",""Labā"",""P49"","""",""Ludzas novads"",""Pildas pagasts"","""""
"534,""Boldači"",""13963"",""2864"",""56.3726558"",""27.7677776"",""Kreisā"",""P49"","""",""Ludzas novads"",""Pildas pagasts"","""""
"535,""Borisova"",""13693"",""2375"",""56.5520700"",""27.3940400"",""Labā"",""V567"","""",""Rēzeknes novads"",""Vērēmu pagasts"","""""
"536,""Borisova"",""13694"",""2375"",""56.5522212"",""27.3930528"",""Kreisā"",""V567"","""",""Rēzeknes novads"",""Vērēmu pagasts"","""""
"537,""Borovije 2"",""13618"",""2171"",""56.0523833"",""27.0100965"",""Kreisā"",""V636"","""",""Aglonas novads"",""Šķeltovas pagasts"","""""
"538,""Borovskaja"",""14121"",""3130"",""56.0406768"",""26.8161604"",""Labā"",""V676"","""",""Daugavpils novads"",""Višķu pagasts"","""""
"539,""Borovskaja"",""14122"",""3130"",""56.0409289"",""26.8167511"",""Kreisā"",""V676"","""",""Daugavpils novads"",""Višķu pagasts"","""""
"543,""Breķeļi"",""11798"",""329"",""57.5144451"",""25.8442541"",""Kreisā"",""P25"","""",""Strenču novads"",""Plāņu pagasts"","""""
"544,""Breķeļi"",""11795"",""329"",""57.5150757"",""25.8442550"",""Labā"",""P25"","""",""Strenču novads"",""Plāņu pagasts"","""""
"545,""Brici"",""14377"",""3658"",""57.1722285"",""25.7113432"",""Labā"",""V325"","""",""Vecpiebalgas novads"",""Dzērbenes pagasts"","""""
"546,""Brici"",""14378"",""3658"",""57.1725352"",""25.7113138"",""Kreisā"",""V325"","""",""Vecpiebalgas novads"",""Dzērbenes pagasts"","""""
"547,""Brieži"",""15037"",""4870"",""57.7120577"",""24.6927717"",""Labā"",""V116"","""",""Limbažu novads"",""Pāles pagasts"","""""
"548,""Brieži"",""14347"",""3622"",""56.5346128"",""23.2304248"",""Labā"",""V1126"",""Dārza iela 3"",""Dobeles novads"",""Naudītes pagasts"",""Apgulde"""
"549,""Brieži"",""14348"",""3622"",""56.5351790"",""23.2304501"",""Kreisā"",""V1126"",""Dārza iela 3"",""Dobeles novads"",""Naudītes pagasts"",""Apgulde"""
"550,""Brieži"",""13414"",""1772"",""55.8628265"",""27.1174545"",""Kreisā"",""P69"","""",""Krāslavas novads"",""Kaplavas pagasts"","""""
"551,""Brieži"",""13415"",""1772"",""55.8633962"",""27.1175790"",""Labā"",""P69"","""",""Krāslavas novads"",""Kaplavas pagasts"","""""
"552,""Brieži"",""14779"",""4242"",""56.3351483"",""21.3094358"",""Labā"",""P113"","""",""Grobiņas novads"",""Bārtas pagasts"","""""
"553,""Brieži"",""14780"",""4242"",""56.3355461"",""21.3097602"",""Kreisā"",""P113"","""",""Grobiņas novads"",""Bārtas pagasts"","""""
"554,""Briežu iela"",""15486"",""6043"",""56.9364070"",""23.6734144"",""Labā"","""",""Mežmalas iela"",""Jūrmala"","""","""""
"555,""Briežu iela"",""15487"",""6043"",""56.9364718"",""23.6729729"",""Kreisā"","""",""Mežmalas iela"",""Jūrmala"","""","""""
"556,""Briežu skola"",""13244"",""1202"",""57.4183581"",""25.3460520"",""Kreisā"",""V190"","""",""Kocēnu novads"",""Vaidavas pagasts"","""""
"557,""Briežu skola"",""13245"",""1202"",""57.4184821"",""25.3458593"",""Labā"",""V190"","""",""Kocēnu novads"",""Vaidavas pagasts"","""""
"558,""Brigine"",""13695"",""2383"",""55.7449666"",""26.5498506"",""Kreisā"",""V723"","""",""Daugavpils novads"",""Demenes pagasts"","""""
"559,""Brigine"",""13696"",""2383"",""55.7451948"",""26.5496059"",""Labā"",""V723"","""",""Daugavpils novads"",""Demenes pagasts"","""""
"560,""Briški"",""14916"",""4667"",""56.4605665"",""26.9161948"",""Labā"",""V595"","""",""Riebiņu novads"",""Galēnu pagasts"","""""
"561,""Briški"",""14917"",""4667"",""56.4606248"",""26.9161545"",""Kreisā"",""V595"","""",""Riebiņu novads"",""Galēnu pagasts"","""""
"562,""Pils"",""13978"",""1240"",""56.7196761"",""21.5909092"",""Labā"",""P112"",""Liepājas iela"",""Aizputes novads"",""Aizputes pilsēta"",""Aizpute"""
"563,""Brocēnu krustojums"",""15276"",""7416"",""56.6841154"",""22.5659159"",""Labā"",""V1156"",""Lielcieceres iela "",""Brocēnu novads"",""Brocēnu pilsēta"",""Brocéni"""
"564,""Brusova"",""14448"",""3743"",""56.5679739"",""27.4614187"",""Kreisā"",""V567"","""",""Rēzeknes novads"",""Lendžu pagasts"","""""
"565,""Brusovanka"",""13493"",""1914"",""55.8243152"",""26.6597195"",""Labā"",""P68"","""",""Daugavpils novads"",""Laucesas pagasts"","""""
"566,""Brusovanka"",""13494"",""1914"",""55.8246265"",""26.6587459"",""Kreisā"",""P68"","""",""Daugavpils novads"",""Laucesas pagasts"","""""
"567,""Brūveri"",""14924"",""4677"",""55.9525236"",""26.2563899"",""Kreisā"",""V700"","""",""Ilūkstes novads"",""Pilskalnes pagasts"","""""
"568,""Brūveri"",""14925"",""4677"",""55.9527719"",""26.2568580"",""Labā"",""V700"","""",""Ilūkstes novads"",""Pilskalnes pagasts"","""""
"569,""Brūveri"",""14828"",""4354"",""57.1014560"",""24.5904160"",""Labā"",""A2"","""",""Siguldas novads"","""","""""
"570,""Brūveri"",""14829"",""4354"",""57.1027180"",""24.5888690"",""Kreisā"",""A2"","""",""Siguldas novads"","""","""""
"571,""Brūveri"",""13673"",""2326"",""56.8883062"",""21.9413778"",""Labā"",""V1294"","""",""Kuldīgas novads"",""Kurmāles pagasts"","""""
"572,""Brūveri"",""13674"",""2326"",""56.8884687"",""21.9414032"",""Kreisā"",""V1294"","""",""Kuldīgas novads"",""Kurmāles pagasts"","""""
"573,""Brūveri"",""13570"",""2038"",""56.9888501"",""23.2299267"",""Kreisā"",""V1448"","""",""Engures novads"",""Smārdes pagasts"","""""
"574,""Brūveri"",""13571"",""2038"",""56.9894781"",""23.2307748"",""Labā"",""V1448"","""",""Engures novads"",""Smārdes pagasts"","""""
"575,""Buki"",""14119"",""3113"",""57.0725555"",""23.0926562"",""Labā"",""V1436"","""",""Tukuma novads"",""Sēmes pagasts"","""""
"578,""Bukulti"",""15488"",""6046"",""57.0207440"",""24.2587621"",""A/V"","""",""Ādažu iela"",""Ropažu novads"","""",""Bukulti"""
"579,""Bulduri"",""13638"",""2221"",""56.8030833"",""23.2969936"",""Kreisā"",""V1450"","""",""Tukuma novads"",""Džūkstes pagasts"","""""
"580,""Bulduri"",""13639"",""2221"",""56.8031617"",""23.2969768"",""Labā"",""V1450"","""",""Tukuma novads"",""Džūkstes pagasts"","""""
"581,""Būmaņi"",""13943"",""2839"",""56.5614527"",""23.4961630"",""Kreisā"",""V1079"","""",""Jelgavas novads"",""Zaļenieku pagasts"","""""
"582,""Būmaņi"",""13944"",""2839"",""56.5616672"",""23.4960180"",""Labā"",""V1079"","""",""Jelgavas novads"",""Zaļenieku pagasts"","""""
"583,""Bumburi"",""14591"",""3923"",""57.2797298"",""25.3182989"",""Labā"",""V294"","""",""Cēsu novads"",""Vaives pagasts"","""""
"584,""Bumburi"",""14592"",""3923"",""57.2802945"",""25.3178102"",""Kreisā"",""V294"","""",""Cēsu novads"",""Vaives pagasts"","""""
"585,""Burtnieki"",""15129"",""4993"",""57.3434749"",""21.6289893"",""Labā"",""P122"","""",""Ventspils novads"",""Tārgales pagasts"","""""
"586,""Burtnieki"",""15130"",""4993"",""57.3442371"",""21.6288125"",""Kreisā"",""P122"","""",""Ventspils novads"",""Tārgales pagasts"","""""
"587,""Bušovka"",""13457"",""1833"",""56.2818696"",""26.5445274"",""Kreisā"",""V752"","""",""Līvānu novads"",""Sutru pagasts"","""""
"588,""Bušovka"",""13458"",""1833"",""56.2819674"",""26.5437150"",""Labā"",""V752"","""",""Līvānu novads"",""Sutru pagasts"","""""
